cell_long,cell_lat,count
-322229.31,4464050.0,37
-332729.31,4459050.0,37
-326229.31,4460050.0,37
-319729.31,4464050.0,36
-325729.31,4468550.0,36
-319229.31,4464050.0,36
-318729.31,4458550.0,35
-317229.31,4466550.0,35
-318729.31,4466550.0,35
-318729.31,4465050.0,34
-324729.31,4468550.0,34
-320229.31,4469050.0,34
-330729.31,4466050.0,34
-328229.31,4462050.0,34
-318729.31,4466050.0,34
-318729.31,4459550.0,33
-322229.31,4467550.0,33
-331729.31,4466050.0,32
-319229.31,4468050.0,32
-328729.31,4458050.0,32
-317229.31,4467050.0,31
-318729.31,4457550.0,31
-330229.31,4465050.0,31
-317729.31,4457550.0,30
-319229.31,4464550.0,30
-320229.31,4467050.0,29
-318729.31,4457050.0,29
-319729.31,4468050.0,29
-323229.31,4468050.0,29
-318229.31,4468050.0,28
-319229.31,4462550.0,27
-321729.31,4464050.0,27
-316729.31,4456550.0,27
-332729.31,4456050.0,27
-328729.31,4469050.0,27
-329729.31,4458050.0,26
-326229.31,4468550.0,26
-322729.31,4468050.0,25
-330729.31,4465550.0,25
-317729.31,4467050.0,25
-322729.31,4467550.0,24
-318729.31,4460050.0,24
-317229.31,4457550.0,24
-330229.31,4467050.0,23
-332229.31,4465550.0,23
-327729.31,4468550.0,23
-330729.31,4467550.0,22
-326729.31,4469050.0,22
-325229.31,4467050.0,22
-330229.31,4465550.0,21
-321229.31,4458550.0,21
-316729.31,4466050.0,21
-319229.31,4463050.0,20
-318729.31,4462550.0,20
-324729.31,4467550.0,19
-317729.31,4466050.0,19
-320229.31,4468550.0,19
-318229.31,4464550.0,18
-320729.31,4459550.0,18
-319229.31,4456550.0,16
-330729.31,4465050.0,15
-323729.31,4462050.0,15
-321729.31,4458550.0,15
-327729.31,4463550.0,15
-325229.31,4467550.0,14
-326229.31,4468050.0,14
-327729.31,4460050.0,14
-321729.31,4466050.0,14
-316729.31,4461550.0,14
-327729.31,4462550.0,14
-326229.31,4466550.0,14
-317229.31,4462550.0,14
-318729.31,4462050.0,14
-323229.31,4459550.0,13
-332729.31,4469050.0,13
-330229.31,4467550.0,12
-332729.31,4458550.0,12
-327229.31,4457050.0,11
-324729.31,4458550.0,11
-318729.31,4456050.0,11
-322229.31,4458550.0,10
-316729.31,4457050.0,9
-319229.31,4465050.0,9
-323729.31,4459050.0,9
-324729.31,4459050.0,8
-320729.31,4462550.0,8
-325229.31,4458550.0,8
-322729.31,4461550.0,8
-330729.31,4457550.0,7
-319229.31,4457550.0,7
-322729.31,4459550.0,7
-318729.31,4461050.0,6
-323229.31,4461550.0,6
-324229.31,4459050.0,5
-318229.31,4458550.0,5
-322229.31,4459550.0,5
-326229.31,4462550.0,5
-323229.31,4462050.0,5
-328729.31,4458550.0,4
-326729.31,4457550.0,4
-318729.31,4463050.0,4
-319229.31,4456050.0,4
-327729.31,4458050.0,4
-319229.31,4461550.0,4
-332229.31,4466050.0,4
-318729.31,4461550.0,4
-321729.31,4459550.0,4
-319729.31,4460550.0,4
-332229.31,4456550.0,3
-331229.31,4457550.0,3
-326229.31,4460550.0,3
-323229.31,4459050.0,3
-323729.31,4463050.0,2
-330229.31,4466050.0,2
-328229.31,4458550.0,2
-327729.31,4458550.0,2
-329229.31,4458550.0,1
-331729.31,4456050.0,1
-330229.31,4458550.0,1
-319229.31,4457050.0,1
-317729.31,4468550.0,1
-318729.31,4469050.0,1
-332729.31,4465550.0,1
-319729.31,4460050.0,1
