poi_lon,poi_lat,count
-326865.6792,4473882.268,21
-324954.0335,4475141.411,20
-325160.7988,4483451.188,20
-320528.4227,4474191.551,20
-320430.4179,4474186.593,20
-50021.15457,3588157.739,20
-326815.8253,4472636.152,20
-331060.5538,4470375.91,20
-318850.2559,4481366.056,20
-327914.1463,4467718.388,20
-320338.8849,4474223.76,20
-325352.735,4462334.727,20
-329983.6774,4464613.901,19
-326174.2717,4473006.665,19
-327058.1787,4482929.842,19
-319532.5299,4474763.162,19
-320423.8395,4474187.274,19
-333542.7226,4466721.274,19
-326950.8819,4467480.344,19
-320733.4044,4474127.748,19
-326501.3876,4473630.544,19
-325030.8896,4466104.194,19
-320327.2524,4474406.591,19
-327529.5536,4467579.397,19
-322216.7956,4474247.659,19
-320555.602,4474195.363,19
-326357.1481,4473025.657,19
-320435.7306,4474189.029,19
-322305.4008,4474240.612,19
-320332.8307,4473614.972,18
-325037.6677,4474934.647,18
-322354.9631,4474246.013,18
-319251.0251,4478209.222,18
-319275.3061,4478332.303,18
-324983.873,4475616.91,18
-320631.3122,4474115.124,18
-320624.1349,4474115.019,18
-322367.8886,4474247.422,18
-320631.171,4474202.59,18
-325118.3685,4466104.837,18
-324764.2995,4466278.704,18
-322380.7513,4474249.567,18
-326312.2912,4470770.893,18
-320334.6471,4474412.181,18
-322532.5239,4474259.634,18
-322317.3422,4474231.022,18
-323872.125,4475392.293,18
-322332.964,4474243.616,18
-322342.2721,4474247.22,18
-322511.7325,4474258.235,17
-318927.3406,4480066.3,17
-325133.2398,4474582.626,17
-324992.6016,4475596.577,17
-318932.7131,4480170.49,17
-320330.2417,4473638.79,17
-322420.0491,4474245.674,17
-320334.5218,4474305.316,17
-320616.6817,4474097.541,17
-326620.2168,4474156.704,17
-327119.8156,4479223.722,17
-319268.2211,4478290.147,17
-320792.6262,4474210.263,17
-322513.8919,4474258.29,17
-318976.8529,4480123.487,17
-319209.1155,4479657.292,17
-326779.3321,4474035.158,17
-322327.8421,4474228.461,17
-325195.7632,4474435.795,17
-318941.4602,4480158.491,17
-327482.23,4478311.536,17
-320719.8753,4474208.656,16
-324983.2272,4474651.205,16
-318779.1172,4480575.532,16
-319182.7672,4479698.234,16
-330148.6661,4462085.366,16
-319209.7974,4479655.001,16
-319197.178,4479668.381,16
-325661.3011,4483451.25,16
-319230.8855,4479631.393,16
-326652.503,4474114.655,16
-318776.9388,4480595.566,16
-324982.8311,4474665.523,16
-319178.5942,4479702.386,16
-325382.5873,4461599.651,16
-328095.658,4478362.546,16
-327793.0854,4475916.411,16
-319265.3742,4478278.993,16
-319330.649,4478571.469,16
-326638.8658,4472603.686,16
-324982.6554,4474675.686,16
-324961.76,4474951.542,16
-324978.1517,4474727.49,16
-319254.4608,4478599.582,16
-319205.5927,4472503.336,16
-327800.42,4475964.178,16
-326372.2954,4467545.887,16
-320336.8787,4474266.112,16
-329236.6467,4474166.736,16
-324994.0878,4474444.288,16
-327472.8288,4478291.715,16
-324965.4714,4474913.562,16
-318822.11,4481227.71,16
-319263.9869,4478266.195,16
-324979.9897,4474706.403,16
-319196.3791,4479675.727,16
-326667.7457,4474107.347,16
-329292.7271,4472939.888,16
-319161.0793,4478284.085,16
-325042.8641,4474845.861,16
-326567.9686,4474197.108,16
-325845.8262,4467561.17,16
-318987.6801,4480126.579,16
-320857.7896,4474205.189,16
-324981.2498,4474686.402,16
-324958.5516,4475026.826,16
-318783.0955,4480607.384,16
-320408.9267,4470397.146,15
-324968.5573,4474876.865,15
-319268.6257,4478532.99,15
-319187.4376,4479689.507,15
-328141.0221,4478350.048,15
-324983.0968,4474656.755,15
-320383.3041,4470395.152,15
-324615.7076,4481796.48,15
-326309.8185,4480912.209,15
-324952.3153,4475256.922,15
-318999.6321,4480118.532,15
-318947.9995,4482080.865,15
-329324.1367,4473072.853,15
-318940.5521,4480047.466,15
-326653.3939,4474098.217,15
-324970.1898,4474865.183,15
-327490.1828,4467709.627,15
-318817.7662,4481093.259,15
-324951.2739,4475284.979,15
-320878.0683,4474211.449,15
-320399.2917,4470396.663,15
-322451.2931,4474249.079,15
-320391.3083,4470396.371,15
-324961.1984,4474965.391,15
-325002.0501,4474517.876,15
-318815.7706,4481026.238,15
-318775.9295,4480588.136,15
-325098.8261,4474404.368,15
-328125.834,4478630.025,15
-319256.3774,4478620.962,15
-324979.4002,4474718.131,15
-320395.6552,4470395.919,15
-326642.7885,4474112.701,15
-328043.4183,4477687.132,15
-320403.5734,4470396.892,15
-320380.4352,4470394.841,15
-326636.8325,4474226.943,15
-319159.7808,4479705.081,15
-319001.3162,4480068.826,15
-319159.0032,4478257.237,15
-319258.2869,4478647.184,15
-319133.2407,4479761.318,15
-324779.5472,4481508.751,15
-314368.2401,4463444.713,15
-324983.9825,4474631.622,15
-324982.1509,4474669.605,15
-322947.787,4482672.326,15
-329257.7,4474161.074,15
-329236.8252,4474159.354,15
-318959.4725,4480000.164,15
-314368.8629,4463438.52,15
-327802.1063,4475901.462,15
-324957.3855,4474995.983,15
-318952.4108,4482066.164,15
-320388.8304,4470396.687,15
-320375.4188,4470394.994,15
-329281.2758,4473422.848,14
-324970.9954,4474850.291,14
-320437.0529,4470398.906,14
-330001.5785,4464598.358,14
-327790.1025,4476012.881,14
-326633.9513,4474111.913,14
-325549.4339,4461215.303,14
-324999.6478,4474423.147,14
-319068.1359,4477025.362,14
-319108.8915,4479793.671,14
-319309.191,4478437.736,14
-326792.8602,4472636.093,14
-320423.7293,4470399.914,14
-329297.6293,4473007.206,14
-319105.546,4476743.106,14
-329284.0051,4473395.481,14
-329250.6641,4474097.993,14
-326626.3417,4474117.793,14
-328138.3135,4478253.413,14
-324819.9458,4481476.062,14
-319337.213,4479409.73,14
-319065.5015,4477044.828,14
-318850.8041,4480411.251,14
-328052.7856,4478099.915,14
-321307.5914,4474118.99,14
-320247.5878,4474265.301,14
-328881.8668,4472281.068,14
-319311.7587,4478473.826,14
-324963.3239,4474922.586,14
-329327.3445,4473054.223,14
-319256.8899,4478643.316,14
-319068.187,4477027.282,14
-319257.6092,4478653.417,14
-319064.083,4477057.884,14
-320880.3945,4474229.237,14
-324156.2963,4465110.82,14
-326307.8994,4480921.258,14
-324970.9418,4474860.366,14
-328029.7395,4478023.079,14
-329283.461,4473619.777,14
-324963.1782,4474934.138,14
-328206.1149,4474537.401,14
-319002.1115,4480129.95,14
-319245.4502,4478545.369,14
-319017.0586,4482052.229,14
-318819.07,4481103.547,14
-326611.0217,4474123.989,14
-319333.1067,4472397.445,13
-324632.5817,4481793.89,13
-319050.6115,4479889.273,13
-333956.7613,4462959.622,13
-329162.3306,4472972.473,13
-319205.264,4479788.352,13
-324613.1958,4481807.401,13
-324976.1756,4474545.999,13
-328129.2299,4478217.707,13
-319067.1833,4477036.52,13
-319019.1116,4480076.28,13
-329249.7444,4474049.745,13
-329338.3693,4473053.812,13
-318900.7936,4480327.946,13
-319230.6532,4478492.149,13
-322461.9763,4472679.907,13
-328051.1053,4478089.513,13
-320251.374,4474176.295,13
-318807.7519,4480397.336,13
-319121.5525,4476684.867,13
-318837.9591,4480239.694,13
-324975.7295,4474418.56,13
-328130.9372,4478202.169,13
-328137.098,4478260.218,13
-329289.4888,4473320.72,13
-318764.9909,4481125.347,12
-325678.6665,4472884.714,12
-325236.2997,4474420.551,12
-324973.0951,4474385.529,12
-324976.0729,4474559.932,12
-319171.726,4476380.033,12
-324972.5996,4474394.261,12
-319174.5001,4476748.875,12
-318947.5012,4479969.391,12
-325708.2902,4472885.746,12
-329255.9122,4474020.818,12
-320420.3532,4470422.464,12
-337729.7067,4469658.313,12
-324940.9054,4472937.351,12
-315314.5101,4463170.988,12
-319122.8838,4476667.354,12
-326531.638,4474182.518,12
-333817.1267,4464079.741,12
-328006.3451,4478038.094,12
-329311.2769,4473913.766,11
-324975.9795,4474554.369,11
-324967.1528,4474588.355,11
-320241.2316,4474149.291,11
-329358.4359,4473081.059,11
-319258.1931,4478144.56,11
-318887.5887,4482154.385,11
-326315.4691,4480929.185,11
-319260.8771,4478739.585,11
-320252.1203,4474189.507,11
-328987.2931,4472971.173,11
-320211.2706,4474550.778,11
-324975.3731,4474566.332,11
-329208.73,4473407.376,11
-318887.5563,4482141.959,11
-319235.4927,4476394.214,11
-329811.5457,4446340.621,11
-330106.468,4444760.004,10
-329011.8093,4473022.383,10
-333974.6452,4462848.906,10
-329204.6046,4473383.953,10
-326325.4432,4480930.584,10
-319170.9284,4476287.198,10
-328033.612,4469784.696,10
-324628.8061,4481813.267,10
-325010.8129,4475336.623,10
-330826.5445,4478118.791,10
-324617.0594,4481822.298,10
-327721.7344,4467676.97,10
-324641.2577,4481804.832,10
-327570.3533,4467545.226,10
-325095.8242,4474373.91,10
-320246.1712,4474219.695,10
-324673.061,4483458.561,9
-320348.6939,4474558.669,9
-319132.3654,4477274.799,9
-320209.2922,4474520.382,9
-319024.0716,4477433.304,9
-327718.4546,4467789.556,9
-329364.721,4473017.223,9
-326252.6534,4483881.15,9
-325222.3855,4474409.083,9
-319132.4669,4477229.888,9
-324963.1849,4474544.151,9
-320190.3558,4474694.568,9
-327741.1538,4467803.192,9
-314098.823,4466710.147,9
-333740.1759,4464080.832,9
-324916.9404,4474414.566,9
-325155.0434,4478173.865,9
-319009.3196,4477432.197,8
-324937.0846,4474811.857,8
-322164.4821,4474337.543,8
-333731.3574,4464079.748,8
-333735.4053,4464080.261,8
-329592.55,4464581.006,8
-327797.1722,4467825.252,8
-327602.4082,4467762.099,8
-326886.3396,4473995.056,8
-325467.2081,4462219.096,8
-327799.8083,4467814.558,8
-318902.6204,4481172.996,8
-324961.0968,4474556.673,8
-318901.5926,4481167.569,8
-319132.8637,4477247.747,8
-319120.0794,4477443.624,8
-327871.5214,4475339.223,8
-322882.9668,4472068.939,8
-328507.026,4465957.082,8
-319131.6206,4477265.799,8
-333727.6781,4464079.433,8
-328997.5282,4473020.015,8
-325011.6031,4475465.373,8
-318906.2174,4481182.645,7
-319107.6713,4477889.399,7
-319058.7026,4477559.141,7
-333722.8769,4464078.825,7
-319033.8218,4477549.117,7
-319059.7504,4477571.405,7
-325012.0649,4475444.124,7
-319016.0319,4477541.553,7
-319070.5107,4477696.788,7
-318956.4561,4481608.234,7
-319067.821,4477684.897,7
-326324.2914,4480941.947,7
-319021.1939,4477545.83,7
